Rank,Company_Name,Revenue_$M,Revenue_change%,Profits_$M,Profits_change%,Assets_$M,Market_Value_$M,Employees
1,Walmart,572754,2.4,13673,1.2,244860,409795.0,2300000
2,Amazon,469822,21.7,33364,56.4,420549,1658807.0,1608000
3,Apple,365817,33.3,94680,64.9,351002,2849538.0,154000
4,CVS Health,292111,8.7,7910,10.2,232999,132839.0,258000
5,UnitedHealth Group,287597,11.8,17285,12.2,212206,479830.0,350000
6,Exxon Mobil,285640,57.4,23040,0.0,338923,349652.0,63000
7,Berkshire Hathaway,276094,12.5,89795,111.2,958784,779542.0,372000
8,Alphabet,257637,41.2,76033,88.8,359268,1842326.0,156500
9,McKesson,238228,3.1,-4539,-604.3,65015,45858.0,67500
10,AmerisourceBergen,213989,12.7,1540,0.0,57338,32356.0,40000
11,Costco Wholesale,195929,17.5,5007,25.1,59268,255231.0,288000
12,Cigna,174078,8.5,5365,-36.6,154889,76286.0,72963
13,AT&T,168864,-1.7,20081,0.0,551622,169262.0,202600
14,Microsoft,168088,17.5,61271,38.4,333779,2311359.0,181000
15,Cardinal Health,162467,6.2,611,0.0,44453,15709.0,46827
16,Chevron,162465,71.6,15625,0.0,239535,317120.0,42595
17,Home Depot,151157,14.4,16433,27.7,71876,309313.0,490600
18,Walgreens Boots Alliance,148579,6.5,2542,457.5,81285,38671.0,258500
19,Marathon Petroleum,141032,58.5,9738,0.0,85373,47758.0,17700
20,Anthem,138639,13.8,6104,33.5,97460,118534.0,98200
21,Kroger,137888,4.1,1655,-36.0,49086,41496.0,420000
22,Ford Motor,136341,7.2,17937,0.0,257035,67958.0,183000
23,Verizon Communications,133613,4.1,22065,24.0,366596,213837.0,118400
24,JPMorgan Chase,127202,-1.8,48334,65.9,3743567,402527.0,271025
25,General Motors,127004,3.7,10019,55.9,244718,63555.0,157000
26,Centene,125982,13.4,1347,-25.5,78375,49072.0,72500
27,Meta Platforms,117929,37.2,39370,35.1,165987,605251.0,71970
28,Comcast,116385,12.4,14159,34.4,275905,212246.0,189000
29,Phillips 66,114852,75.4,1317,0.0,55594,41561.0,14000
30,Valero Energy,108332,80.2,930,0.0,57888,41572.0,9804
31,Dell Technologies,106995,13.6,5563,71.2,92735,38164.0,133000
32,Target,106005,13.3,6946,59.0,53811,98134.0,450000
33,Fannie Mae,101543,-4.6,22176,87.9,4229166,909.0,7400
34,UPS,97287,15.0,12890,859.8,69405,186817.0,400945
35,Lowe's,96250,7.4,8442,44.7,44640,133761.0,270000
36,Bank of America,93851,0.1,31978,78.7,3169495,332433.0,208248
37,Johnson & Johnson,93775,13.6,20878,41.9,182018,466047.0,141700
38,Archer Daniels Midland,85249,32.5,2709,52.9,56136,50769.0,39979
39,FedEx,83959,21.3,5231,306.8,82777,59971.0,484000
40,Humana,83064,7.7,2933,-12.9,44358,55155.0,95500
41,Wells Fargo,82407,2.6,21548,552.8,1948068,184225.0,247848
42,State Farm Insurance,82225,4.2,1281,-65.7,325349,131200.0,53586
43,Pfizer,81288,94.0,21979,128.6,181476,292385.3,79000
44,Citigroup,79865,-10.1,21952,98.7,2291413,105330.1,221768
45,PepsiCo,79474,12.9,7618,7.0,92377,231528.2,309000
46,Intel,79024,1.5,19868,-4.9,168406,202635.8,121100
47,Procter & Gamble,76118,7.3,14306,9.8,119307,366271.6,101000
48,General Electric,74196,-6.8,-6520,-214.3,198874,100810.2,168000
49,IBM,72344,-1.7,5743,2.7,132001,116928.3,297800
50,MetLife,71080,4.8,6554,21.2,759708,57986.5,43000
51,Prudential Financial,70934,24.4,7724,0.0,937582,44482.2,40916
52,Albertsons,69690,11.6,850,82.3,26598,16063.7,300000
53,Walt Disney,67418,3.1,1995,0.0,203609,249718.1,171000
54,Energy Transfer,67417,73.1,5470,0.0,105963,34496.9,12558
55,Lockheed Martin,67044,2.5,6315,-7.6,50873,117648.2,114000
56,Freddie Mac,65898,-0.5,12109,65.3,3025586,510.3,7301
57,Goldman Sachs Group,64989,21.5,21635,128.7,1463988,117667.6,43900
58,Raytheon Technologies,64388,13.8,3864,0.0,161404,147640.9,174000
59,HP,63487,12.1,6503,128.7,38610,38237.2,51000
60,Boeing,62286,7.1,-4202,0.0,138552,113058.7,142000
61,Morgan Stanley,61121,17.4,15034,36.7,1188140,155685.6,74814
62,HCA Healthcare,58752,14.0,6956,85.3,50742,75691.9,244000
63,AbbVie,56197,22.7,11542,150.0,146529,286332.4,50000
64,Dow,54968,42.6,6311,415.2,62990,46839.7,35700
65,Tesla,53823,70.7,5519,665.5,62131,1113707.8,99290
66,Allstate,53228,18.8,1599,-71.3,99440,38553.7,54500
67,AIG,52057,19.0,9388,0.0,596112,50608.2,36600
68,Best Buy,51761,9.5,2454,36.5,17504,20473.2,81375
69,Charter Communications,51682,7.5,4654,44.4,142491,112803.4,93700
70,Sysco,51298,-3.0,524,143.3,21414,41433.1,57710
71,Merck,51216,6.7,13049,84.6,105694,207400.5,67500
72,New York Life Insurance,51199,9.6,277,0.0,379985,23880.0,14344
73,Caterpillar,50971,22.1,6489,116.4,82793,119406.6,107700
74,Cisco Systems,49818,1.0,10591,-5.6,97497,231636.4,79500
75,TJX,48550,51.1,3283,3528.6,28462,71195.3,340000
76,Publix Super Markets,48394,7.1,4412,11.1,31524,48000.0,232000
77,ConocoPhillips,48349,151.1,8079,0.0,90661,129605.1,9900
78,Liberty Mutual Insurance Group,48200,10.1,3068,304.7,156043,8270.0,45000
79,Progressive,47702,11.8,3351,-41.3,71132,66670.3,49077
80,Nationwide,47376,13.0,1617,0.0,278412,1240.0,24134
81,Tyson Foods,47049,8.9,3047,47.8,36309,32487.8,137000
82,Bristol-Myers Squibb,46385,9.1,6994,0.0,109314,155203.5,32200
83,Nike,44538,19.1,5727,125.6,37740,212779.1,73300
84,Deere,44024,23.9,5963,116.8,84114,127456.6,75550
85,American Express,43663,14.3,8060,157.1,188548,141613.0,64000
86,Abbott Laboratories,43075,24.5,7071,57.3,75196,208725.8,113000
87,StoneX Group,42534,-21.4,116,-31.4,18840,1494.4,3242
88,Plains GP Holdings,42078,80.7,60,0.0,29978,2242.9,4100
89,Enterprise Products Partners,40807,50.0,4638,22.8,67526,56172.4,6911
90,TIAA,40526,-2.6,4061,627.6,698191,4510.0,15065
91,Oracle,40479,3.6,13746,35.6,131107,220736.6,132000
92,Thermo Fisher Scientific,39211,21.7,7725,21.2,95123,231057.4,129000
93,Coca-Cola,38655,17.1,9771,26.1,94354,268769.7,79000
94,General Dynamics,38469,1.4,3257,2.8,50073,67081.0,103100
95,CHS,38448,35.4,554,31.1,17576,366.93,9941
96,USAA,37470,3.2,3300,-15.5,210677,27400.0,37335
97,Northwestern Mutual,36751,8.8,978,130.1,334654,558000.0,7585
98,Nucor,36484,81.2,6828,846.3,25823,39954.0,28800
99,Exelon,36347,10.0,1706,-13.1,133013,46683.9,31518
100,Massachusetts Mutual Life Insurance,35900,51.7,319,0.0,383292,39000.0,10052
101,Northrop Grumman,35667,-3.1,7005,119.7,42579,69811.9,88000
102,3M,35355,9.9,5921,10.0,47072,84738.3,95000
103,Travelers,34816,8.9,3662,35.8,120466,44129.4,30492
104,Arrow Electronics,34477,20.2,1108,89.6,19536,7951.3,20700
105,Honeywell International,34392,5.4,5542,16.0,64470,133381.0,99000
106,Dollar General,34220,1.4,2399,-9.6,26327,50953.0,163000
