Rank_in_2022,Name,Revenue(in millions),Revenue(% change),Profits(in millions),Profits(% change), Assets,Market_Value,Change in Rank of top 1000 companies,Employees,Change in Rank (500 only)
1,Walmart,572754,2.40%,13673,1.20%,244860,409795,,2300000,
2,Amazon,469822,21.70%,33364,56.40%,420549,1658807,,1608000,
3,Apple,365817,33.30%,94680,64.90%,351002,2849538,,154000,
4,CVS Health,292111,8.70%,7910,10.20%,232999,132839,,258000,
5,UnitedHealth Group,287597,11.80%,17285,12.20%,212206,479830,,350000,
6,Exxon Mobil,285640,57.40%,23040,,338923,349652,4,63000,4
7,Berkshire Hathaway,276094,12.50%,89795,111.20%,958784,779542,-1,372000,-1
8,Alphabet,257637,41.20%,76033,88.80%,359268,1842326,1,156500,1
9,McKesson,238228,3.10%,-4539,-604.30%,65015,45858,-2,67500,-2
10,AmerisourceBergen,213989,12.70%,1540,,57338,32356,-2,40000,-2
11,Costco Wholesale,195929,17.50%,5007,25.10%,59268,255231,1,288000,1
12,Cigna,174078,8.50%,5365,-36.60%,154889,76286,1,72963,1
13,AT&T,168864,-1.70%,20081,,551622,169262,-2,202600,-2
14,Microsoft,168088,17.50%,61271,38.40%,333779,2311359,1,181000,1
15,Cardinal Health,162467,6.20%,611,,44453,15709,-1,46827,-1
16,Chevron,162465,71.60%,15625,,239535,317120,11,42595,11
17,Home Depot,151157,14.40%,16433,27.70%,71876,309313,1,490600,1
18,Walgreens Boots Alliance,148579,6.50%,2542,457.50%,81285,38671,-2,258500,-2
19,Marathon Petroleum,141032,58.50%,9738,,85373,47758,13,17700,13
20,Anthem,138639,13.80%,6104,33.50%,97460,118534,3,98200,3
21,Kroger,137888,4.10%,1655,-36.00%,49086,41496,-4,420000,-4
22,Ford Motor,136341,7.20%,17937,,257035,67958,-1,183000,-1
23,Verizon Communications,133613,4.10%,22065,24.00%,366596,213837,-3,118400,-3
24,JPMorgan Chase,127202,-1.80%,48334,65.90%,3743567,402527,-5,271025,-5
25,General Motors,127004,3.70%,10019,55.90%,244718,63555,-3,157000,-3
26,Centene,125982,13.40%,1347,-25.50%,78375,49072,-2,72500,-2
27,Meta Platforms,117929,37.20%,39370,35.10%,165987,605251,7,71970,7
28,Comcast,116385,12.40%,14159,34.40%,275905,212246,-2,189000,-2
29,Phillips 66,114852,75.40%,1317,,55594,41561,19,14000,19
30,Valero Energy,108332,80.20%,930,,57888,41572,23,9804,23
31,Dell Technologies,106995,13.60%,5563,71.20%,92735,38164,-3,133000,-3
32,Target,106005,13.30%,6946,59.00%,53811,98134,-2,450000,-2
33,Fannie Mae,101543,-4.60%,22176,87.90%,4229166,909,-8,7400,-8
34,UPS,97287,15.00%,12890,859.80%,69405,186817,1,400945,1
35,Lowe's,96250,7.40%,8442,44.70%,44640,133761,-4,270000,-4
36,Bank of America,93851,0.10%,31978,78.70%,3169495,332433,-7,208248,-7
37,Johnson & Johnson,93775,13.60%,20878,41.90%,182018,466047,-1,141700,-1
38,Archer Daniels Midland,85249,32.50%,2709,52.90%,56136,50769,13,39979,13
39,FedEx,83959,21.30%,5231,306.80%,82777,59971,6,484000,6
40,Humana,83064,7.70%,2933,-12.90%,44358,55155,1,95500,1
41,Wells Fargo,82407,2.60%,21548,552.80%,1948068,184225,-4,247848,-4
42,State Farm Insurance,82225,4.20%,1281,-65.70%,325349,,-3,53586,-3
43,Pfizer,81288,94.00%,21979,128.60%,181476,"292,385.30",34,79000,34
44,Citigroup,79865,-10.10%,21952,98.70%,2291413,"105,330.10",-11,221768,-11
45,PepsiCo,79474,12.90%,7618,7.00%,92377,"231,528.20",-1,309000,-1
46,Intel,79024,1.50%,19868,-4.90%,168406,"202,635.80",-6,121100,-6
